state,state_code,class,bioguide,thomas,opensecrets,votesmart,fec,maplight,wikidata,google_entity_id,title,party,first_name,middle_name,last_name,name_suffix,goes_by,pronunciation,gender,ethnicity,religion,openly_lgbtq,date_of_birth,entered_office,term_end,biography,phone,fax,latitude,longitude,address,website,contact_page,facebook_url,twitter_url
Illinois,IL,III,D000622,2123,N00027860,57442,,,,,senator,democrat,Tammy,,Duckworth,,,TAM-ee DUCK-werth,female,asian-american,deist,no,1968-03-12,2017-01-03,2023-01-03,"Tammy Duckworth, a Senator and a Representative from Illinois; born in Bangkok, Thailand, March 12, 1968; graduated from President William McKinley High School, Honolulu, Hawaii, 1985; B.A., University of Hawaii, Manoa, Hawaii, 1989; M.A., The George Washington University, Washington, D.C., 1992; attended Northern Illinois University, DeKalb, Ill.; Illinois Army National Guard, 1996-present; unsuccessful candidate for election to the United States House of Representatives in 2006; director, Ill. department of veterans' affairs, 2006-2009; assistant secretary, United States Department of Veterans' Affairs, 2009-2011; delegate to the Democratic National Convention, 2012; elected as a Democrat to the One Hundred Thirteenth Congress and to the succeeding Congress (January 3, 2013-January 3, 2017); was not a candidate for reelection to the House of Representatives but was elected as a Democrat to the United States Senate in 2016 for the term ending January 3, 2023.",202-224-2854,202-228-0618,38.892839,-77.004356,"524 Hart Senate Office Building, Washington, DC 20510",http://www.duckworth.senate.gov,https://www.duckworth.senate.gov/content/contact-senator,https://facebook.com/CongresswomanTammyDuckworth,https://twitter.com/RepDuckworth
Indiana,IN,I,B001310,,N00041731,148564,S8IN00171,,Q42804470,,senator,republican,Mike,,Braun,,,MYK BRA-un,male,white-american,unspecified,no,1954-03-24,2019-01-03,2025-01-03,"Mike Braun is a Republican member of the U.S. Senate from Indiana. Braun was elected to the office on November 6, 2018.",202-224-4814,,38.892542,-77.007415,B85 Russell Senate Office Building Washington DC 20510,https://www.braun.senate.gov/,https://www.braun.senate.gov/,https://facebook.com/SenatorBraun,https://twitter.com/SenatorBraun
Indiana,IN,III,Y000064,2019,N00030670,120345,,,,,senator,republican,Todd,,Young,,,TAHD YUHNG,male,white-american,christian,no,1972-08-24,2017-01-03,2023-01-03,"Todd Young, a Senator and a Representative from Indiana; born in Lancaster, Lancaster County, Pa., August 24, 1972; graduated from Carmel High School, Carmel, Ind., 1990; B.S., United States Naval Academy, Annapolis, Md., 1995; M.B.A., University of Chicago, Chicago, Ill., 2000; M.A., University of London, London, England, 2001; J.D., Robert H. McKinney School of Law, Indiana University, Indianapolis, Ind., 2006; United States Navy, 1990-1991; United States Marine Corps, 1995-2000; staff, United States Senator Richard Lugar of Indiana, 2001-2003; Orange County, Ind., deputy prosecutor, 2007-2010; consultant; lawyer, private practice; elected as a Republican to the One Hundred Twelfth and to the two succeeding Congresses (January 3, 2011-January 3, 2017); was not a candidate for reelection to the House of Representatives but was elected as a Republican to the United States Senate in 2016 for the term ending January 3, 2023.",202-224-5623,,38.892542,-77.007415,"B33 Russell Senate Office Building, Washington, DC 20510",http://www.young.senate.gov,https://www.young.senate.gov/content/contact-senator,https://facebook.com/ToddYoungIndiana,https://twitter.com/ToddYoungIN
Kansas,KS,III,M000934,1507,N00005282,542,,,,,senator,republican,Jerry,,Moran,,,JAIR-ee more-ANN,male,white-american,methodist,no,1954-05-29,2011-01-03,2023-01-03,"Jerry Moran, a Senator and a Representative from Kansas; born in Great Bend, Barton County, Kans., May 29, 1954; attended Plainville High School, Plainville, Kans.; graduated University of Kansas, Lawrence, Kans., B.S., 1976; graduated Kansas University School of Law, Lawrence, Kans., J.D., 1981; M.B.A. candidate, Fort Hays State University, Hays, Kans.; bank officer; instructor, Fort Hays State University, Hays, Kans.; member of the Kansas state senate 1989-1997, serving as vice president 1993-1995, majority leader 1995-1997; Kansas state special assistant attorney general 1982-1985; deputy attorney, Rooks County, Kans. 1987-1995; University of Kansas School of Law, Lawrence, Kans., board of governors, serving as vice president 1993-1994, and as President 1994-1995; board of directors, Kansas chamber of commerce and industry 1996-1997; elected as a Republican to the One Hundred Fifth Congress and to the six succeeding Congresses (January 3, 1997-January 3, 2011); was not a candidate for reelection to the House of Representatives but was elected as a Republican to the United States Senate in 2010 for the term ending January 3, 2017; chair, National Republican Senatorial Committee (2012-2014).",202-224-6521,202-228-6966,38.892947,-77.075686,"521 Dirksen Senate Office Building, Washington, DC 20510",http://www.moran.senate.gov,https://www.moran.senate.gov/public/index.cfm/e-mail-jerry,https://facebook.com/jerrymoran,https://twitter.com/JerryMoran
Kansas,KS,II,R000307,968,N00005285,26866,,,,,senator,republican,Pat,,Roberts,,,PATT RAH-berts,male,white-american,methodist,no,1936-04-20,1997-01-03,2021-01-03,"Pat Roberts, a Senator and a Representative from Kansas; born in Topeka, Kans., April 20, 1936; attended the public schools; graduated from Holton High School 1954; B.A., Kansas State University, Manhattan 1958; served in the U.S. Marine Corps as a captain 1958-1962; newspaper publisher, Litchfield Park, Ariz. 1962-1967; administrative assistant, United States Senator Frank Carlson 1967-1968; administrative assistant, United States Congressman Keith Sebelius 1968-1980; elected as a Republican to the Ninety-seventh and to the seven succeeding Congresses (January 3, 1981-January 2, 1997); chair, Committee on Agriculture (One Hundred Fourth Congress); not a candidate for reelection to the House of Representatives in 1996, but was elected as a Republican to the United States Senate in 1996; reelected in 2002, 2008, and again in 2014 for the term ending January 3, 2021; Chair, Select Committee on Ethics (One Hundred Sixth and One Hundred Seventh Congresses [November 9, 1999-January 3, 2001; January 20, 2001-June 6, 2001]), Select Committee on Intelligence (One Hundred Eighth and One Hundred Ninth Congresses), Committee on Agriculture, Nutrition, and Forestry (One Hundred Fourteenth Congress).",202-224-4774,202-224-3514,38.892839,-77.004356,"109 Hart Senate Office Building, Washington, DC 20510",http://www.roberts.senate.gov,https://www.roberts.senate.gov/public/?p=EmailPat,https://facebook.com/SenPatRoberts,https://twitter.com/SenPatRoberts
Kentucky,KY,II,M000355,1395,N00003389,53298,,,,,senate-majority-leader,republican,Mitch,,McConnell,,,MITCH muh-KAH-nuhl,male,white-american,southern-baptist,no,1942-02-20,1985-01-03,2021-01-03,"Mitch McConnell, a Senator from Kentucky; born in Tuscumbia, Colbert County, Ala., February 20, 1942; attended Louisville, Ky. public schools; graduated, University of Louisville 1964; graduated, University of Kentucky Law School, Lexington 1967; admitted to the Kentucky bar in 1967; legislative assistant to Senator Marlow Cook 1968-1970; Deputy Assistant United States Attorney for Legislative Affairs 1974-1975; Acting Assistant Attorney General 1975; elected judge-executive of Jefferson County, Ky., 1978-1985; elected as a Republican to the United States Senate in 1984; reelected in 1990, 1996, 2002, 2008, and again in 2014 for the term ending January 3, 2021; Republican party whip (2003-2007); minority leader (2007-2015); majority leader (2015-); chair, Select Committee on Ethics (One Hundred Fourth Congress), National Republican Senatorial Campaign Committee (One Hundred Fifth through One Hundred Sixth Congresses), Committee on Rules and Administration (One Hundred Sixth Congress, One Hundred Seventh Congress [January 20, 2001-June 6, 2001]).",202-224-2541,202-224-2499,38.892542,-77.007415,"317 Russell Senate Office Building, Washington, DC 20510",http://www.mcconnell.senate.gov,https://www.mcconnell.senate.gov/public/index.cfm?p=contact,https://facebook.com/McConnellForSenate,https://twitter.com/McConnellPress
Kentucky,KY,III,P000603,2082,N00030836,117285,,,,,senator,republican,Rand,,Paul,,,RANND PAWL,male,white-american,presbyterian,no,1963-01-07,2011-01-03,2023-01-03,"Rand Paul (son of Ronald Ernest Paul), a Senator from Kentucky; born in Pittsburgh, Pa., January 7, 1963; attended Baylor University, 1981-1984; graduated Duke University, M.D., 1988; ophthalmologist; elected as a Republican to the United States Senate for the term ending January 3, 2017.",202-224-4343,,38.892542,-77.007415,"167 Russell Senate Office Building, Washington, DC 20510",http://www.paul.senate.gov,https://www.paul.senate.gov/connect/email-rand,https://facebook.com/SenatorRandPaul,https://twitter.com/RandPaul
Louisiana,LA,II,C001075,1925,N00030245,69494,,,,,senator,republican,Bill,,Cassidy,,,BILL CASS-ih-dee,male,white-american,christian,no,1957-09-28,2015-01-03,2021-01-03,"Bill Cassidy, a Senator and a Representative from Louisiana; born in Highland Park, Lake County, Ill., September 28, 1957; B.S., Louisiana State University, Baton Rouge, La., 1979; M.D., Louisiana State University Medical School, New Orleans, La., 1983; physician; member of the Louisiana state senate, 2006-2008; elected as a Republican to the One Hundred Eleventh and to the two succeeding Congresses (January 3, 2009-January 3, 2015); was not a candidate for reelection to the House of Representatives but was elected as a Republican to the United States Senate in 2014 for the term ending January 3, 2021.",202-224-5824,202-224-9735,38.892839,-77.004356,"703 Hart Senate Office Building, Washington, DC 20510",http://www.cassidy.senate.gov,https://www.cassidy.senate.gov/contact,https://facebook.com/billcassidy,https://twitter.com/SenatorCassidy
Louisiana,LA,III,K000393,,N00026823,35496,,,,,senator,republican,John,Neely,Kennedy,,,JAHN KEN-uh-dee,male,white-american,methodist,no,1951-11-21,2017-01-03,2023-01-03,"John Kennedy, a Senator from Louisiana; born in Centreville, Miss., November 21, 1951; B.A., Vanderbilt University, 1973; J.D., University of Virginia School of Law, 1977; B.C.L., Oxford University, Oxford, England, 1979; lawyer; special counsel to Louisiana Governor Buddy Roemer; secretary to Governor Roemer's Cabinet; Secretary of the state Department of Revenue in the Cabinet of Louisiana Governor Mike Foster 1996-1999; Louisiana state Treasurer 1999-2016; elected as a Republican to the United States Senate in 2016 for the term ending January 3, 2023.",202-224-4623,,38.892839,-77.004356,"SRB11 Russell Senate Office Building, Washington, DC 20510",http://www.kennedy.senate.gov,https://www.kennedy.senate.gov/content/contact-senator,https://facebook.com/JohnKennedyLouisiana,https://twitter.com/JohnKennedyLA
Massachusetts,MA,II,M000133,735,N00000270,26900,,,,,senator,democrat,Edward,J.,Markey,,Ed,ED MAR-kee,male,white-american,roman-catholic,no,1946-11-11,2013-07-16,2021-01-03,"Edward Markey, a Senator and a Representative from Massachusetts; born in Malden, Middlesex County, Mass., July 11, 1946; attended Immaculate Conception Grammar School, Malden, Mass.; graduated from Malden Catholic High School, Malden, Mass., 1964; B.A., Boston College, Chestnut Hill, Mass., 1968; J.D., Boston College Law School, Chestnut Hill, Mass., 1972; lawyer, private practice; United States Army Reserve, 1968-1973; member of the Massachusetts state house of representatives, 1973-1976; elected as a Democrat to the Ninety-fourth Congress, by special election to fill the vacancy caused by the death of United States Representative Torbert H. Macdonald; reelected to the nineteen succeeding Congresses, and served from November 2, 1976, to July 15, 2013, when he resigned to become a U.S. Senator; elected as a Democrat to the U.S. Senate in a special election on June 25, 2013, to fill the vacancy caused by the resignation of John F. Kerry, a seat subsequently held by appointed Senator William Cowan, and took the oath of office on July 16, 2013; reelected in 2014 for the term ending January 3, 2021.",202-224-2742,,38.892947,-77.075686,"255 Dirksen Senate Office Building, Washington, DC 20510",http://www.markey.senate.gov,https://www.markey.senate.gov/contact,https://facebook.com/EdJMarkey,https://twitter.com/SenMarkey
Massachusetts,MA,I,W000817,2182,N00033492,141272,,,,,senator,democrat,Elizabeth,,Warren,,,uh-LIZ-uh-bith WAR-en,female,white-american,methodist,no,1949-06-22,2013-01-03,2019-01-03,"Elizabeth Warren, a Senator from Massachusetts; born in Oklahoma City, Okla., June 22, 1949; attended George Washington University, 1966-1968; graduated University of Houston, B.S., 1970; graduated Rutgers University, J.D., 1976; elementary school teacher; lawyer; law professor; bankruptcy analyst; Chair, Congressional Oversight Panel for the Troubled Asset Relief Program 2008-2010; special assistant to President Barack Obama for the Consumer Financial Protection Bureau 2010-2011; elected as a Democrat to the United States Senate in 2012 for the term ending January 3, 2019.",202-224-4543,,38.892839,-77.004356,"317 Hart Senate Office Building, Washington, DC 20510",http://www.warren.senate.gov,https://www.warren.senate.gov/?p=email_senator,https://facebook.com/senatorelizabethwarren,https://twitter.com/SenWarren
Maryland,MD,I,C000141,174,N00001955,26888,,,,,senator,democrat,Benjamin,,Cardin,,Ben,BEHN KAHR-dn,male,white-american,jewish,no,1943-10-05,2007-01-03,2019-01-03,"Benjamin Cardin, a Senator and a Representative from Maryland; born in Baltimore, Md., October 5, 1943; attended public schools; graduated from Baltimore City College, Baltimore, Md., 1961; B.A., University of Pittsburgh, Pittsburgh, Pa., 1964; J.D., University of Maryland, Baltimore, Md., 1967; lawyer, private practice; member of the Maryland state house of delegates, 1966-1986, speaker, 1979-1986; elected as a Democrat to the One Hundredth and to the nine succeeding Congresses (January 3, 1987-January 3, 2007); one of the managers appointed by the House of Representatives in 1989 to conduct the impeachment proceedings against Walter L. Nixon, judge of the United States District Court for the District Court of Mississippi; not a candidate for reelection to the House of Representatives but was elected as a Democrat to the United States Senate in 2006 for the term commencing January 3, 2007; reelected in 2012 for the term ending January 3, 2019.",202-224-4524,202-224-1651,38.892839,-77.004356,"509 Hart Senate Office Building, Washington, DC 20510",http://www.cardin.senate.gov,https://www.cardin.senate.gov/contact/,https://facebook.com/senatorbencardin,https://twitter.com/SenatorCardin
Maryland,MD,III,V000128,1729,N00013820,6098,,,,,senator,democrat,Chris,,Van Hollen,,,KRISS vann HAH-lenn,male,white-american,episcopalian,no,1959-01-10,2017-01-03,2023-01-03,"Christopher Van Hollen, a Senator and a Representative from Maryland; born in Karachi, Pakistan, January 10, 1959; B.A., Swarthmore College, Swarthmore, Pa., 1982; M.P.P., Harvard University, Cambridge, Mass., 1985; J.D., Georgetown University, Washington, D.C., 1990; lawyer, private practice; member of the Maryland state house of representatives, 1990-1994; member of the Maryland state senate, 1994-2002; elected as a Democrat to the One Hundred Eighth and to the six succeeding Congresses (January 3, 2003-January 3, 2017); was not a candidate for reelection to the House of Representatives but was elected as a Democrat to the United States Senate in 2016 for the term ending January 3, 2023.",202-224-4654,202-228-3398,38.892839,-77.004356,"503 Hart Senate Office Building, Washington, DC 20510",http://www.vanhollen.senate.gov,https://www.vanhollen.senate.gov/content/contact-senator,https://facebook.com/chrisvanhollen,https://twitter.com/ChrisVanHollen
Maine,ME,I,K000383,2185,N00034580,22381,,,,,senator,independent,Angus,S.,King,Jr.,,AYN-guhs KEENG,male,white-american,episcopalian,no,1944-03-31,2013-01-03,2019-01-03,"Angus King, a Senator from Maine; born in Alexandria, Va., March 31, 1944; graduated Dartmouth College, B.A., 1966; graduated University of Virginia, J.D., 1969; lawyer; Counsel, U.S. Senate Subcommittee on Alcoholism and Narcotics; television program host and co-producer; company executive; energy conservation company owner; governor of Maine 1995-2003; elected as an Independent to the United States Senate in 2012 for the term ending January 3, 2019.",202-224-5344,,38.892839,-77.004356,"133 Hart Senate Office Building, Washington, DC 20510",http://www.king.senate.gov,https://www.king.senate.gov/contact,https://facebook.com/SenatorAngusSKingJr,https://twitter.com/SenAngusKing
Maine,ME,II,C001035,1541,N00000491,379,,,,,senator,republican,Susan,M.,Collins,,,SOO-zuhn KAH-lunz,female,white-american,roman-catholic,no,1952-12-07,1997-01-03,2021-01-03,"Susan Collins, a Senator from Maine; born in Caribou, Aroostook County, Maine, December 7, 1952; graduated from St. Lawrence University, Canton, NY 1975; worked for United States Senator William S. Cohen 1975-1987, serving as staff director of the Senate Governmental Affairs Subcommittee on the Oversight of Government Management 1981-1987; commissioner of the Maine Department of Professional and Financial Regulation 1987-1992; New England regional director, United States Small Business Administration 1992; served as deputy state treasurer of Massachusetts, 1993; won an eight-way Republican primary to become the first woman nominated for governor of Maine in 1994, but lost general election; elected as a Republican to the United States Senate in 1996; reelected in 2002, 2008, and again in 2014 for the term ending January 3, 2021; chair, Committee on Governmental Affairs (One Hundred Eighth Congress), Committee on Homeland Security and Governmental Affairs (One Hundred Ninth Congress); Special Committee on Aging (One Hundred Fourteenth Congress).",202-224-2523,202-224-2693,38.892947,-77.075686,"413 Dirksen Senate Office Building, Washington, DC 20510",http://www.collins.senate.gov,https://www.collins.senate.gov/contact,https://facebook.com/susancollins,https://twitter.com/senatorcollins
Michigan,MI,I,S000770,1531,N00004118,515,,,,,senator,democrat,Debbie,,Stabenow,,,DEH-bee STAB-en-oh,female,white-american,methodist,no,1950-04-29,2001-01-03,2019-01-03,"Debbie Stabenow, a Senator and a Representative from Michigan; born in Gladwin, Mich., April 29, 1950; graduated, Clare High School; B.A., Michigan State University, East Lansing 1972; M.S.W. magna cum laude, Michigan State University, 1975; social worker; leadership training consultant; Ingham County commissioner 1975-1978; member, State house of representatives 1979-1990; member, State senate 1991-1994; elected as a Democrat to the One Hundred Fifth and One Hundred Sixth Congresses (January 3, 1997-January 3, 2001); was not a candidate for reelection to the House of Representatives in 2000, but was elected to the United States Senate for the term commencing January 3, 2001; reelected in 2006 and again in 2012 for the term ending January 3, 2019; Democratic Conference secretary (2005-2007); vice-chair, Democratic Policy and Communications Committee (2011-); chair, Committee on Agriculture, Nutrition, and Forestry (One Hundred Twelfth and One Hundred Thirteenth Congresses).",202-224-4822,,38.892839,-77.004356,"731 Hart Senate Office Building, Washington, DC 20510",http://www.stabenow.senate.gov,https://www.stabenow.senate.gov/?p=contact,https://facebook.com/stabenow,https://twitter.com/SenStabenow
Michigan,MI,II,P000595,1929,N00029277,8749,,,,,senator,democrat,Gary,C.,Peters,,,GAIR-ee PEE-terz,male,white-american,episcopalian,no,1958-01-01,2015-01-03,2021-01-03,"Gary Peters, a Senator and a Representative from Michigan; born in Pontiac, Oakland County, Mich., December 1, 1958; B.A., Alma College, Alma, Mich., 1980; M.B.A., Finance, University of Detroit, Detroit, Mich., 1984; J.D., Wayne State University, Detroit, Mich., 1989; M.A., Philosophy, Michigan State University, East Lansing, Mich., 2007; United States Navy Reserve, 1993-2000, 2001-2005; assistant vice president, Merrill Lynch, 1980-1989; vice president, UBS/Paine Webber, 1989-2003; Arbitrator, Financial Industry Regulatory Authority; instructor, Oakland University, Rochester, Mich., and Wayne State University, Detroit, Mich.; Professor, Central Michigan University; member, Rochester Hills, Mich., city council, 1991-1993; member of the Michigan state senate, 1995-2002; unsuccessful candidate for Michigan state attorney general in 2002; chief administrative officer for the Bureau of investments, state of Michigan, 2003; lottery commissioner, state of Michigan, 2003-2007; elected as a Democrat to the One Hundred Eleventh and to the two succeeding Congresses (January 3, 2009-January 3, 2015); was not a candidate for reelection to the House of Representatives but was elected as a Democrat to the United States Senate in 2014 for the term ending January 3, 2021.",202-224-6221,,38.892839,-77.004356,"724 Hart Senate Office Building, Washington, DC 20510",http://www.peters.senate.gov,https://www.peters.senate.gov/contact/email-gary,https://facebook.com/SenGaryPeters,https://twitter.com/SenGaryPeters
Minnesota,MN,II,S001203,,N00042353,152968,,,,,senator,democrat,Tina,Flint,Smith,,,TEE-nuh SMITH,female,white-american,unspecified,no,1958-03-04,2018-01-02,2019-01-03,"Tina Smith, a Senator from Minnesota; born in Albuquerque, N.Mex., March 4, 1958; B.A., Stanford University, 1980; M.B.A., Dartmouth College, Tuck School of Business, 1984; marketing consultant and executive; chief of staff to Minneapolis mayor R.T. Rybak; chief of staff to Minnesota governor Mark Dayton; lieutenant governor of Minnesota 2015-2018; appointed as a Democrat to the United States Senate to fill the vacancy caused by the resignation of Al Franken, for the term ending January 3, 2021, and took the oath of office on January 3, 2018.",202-224-5641,,38.892839,-77.004356,"309 Hart Senate Office Building, Washington, DC 20510",https://www.smith.senate.gov/,https://www.smith.senate.gov/content/contact-senator,https://facebook.com/USSenTinaSmith,https://twitter.com/SenTinaSmith
Minnesota,MN,I,K000367,1826,N00027500,65092,,,,,senator,democrat,Amy,,Klobuchar,,,AY-mee KLOH-buh-shar,female,white-american,congregationalist,no,1960-05-25,2007-01-03,2019-01-03,"Amy Klobuchar, a Senator from Minnesota; born in Plymouth, Minn., May 25, 1960; attended the public schools in Plymouth; graduated magna cum laude Yale University 1982; J.D., University of Chicago 1985; practiced law in Minnesota, becoming partner at the law firms of Dorsey &amp; Whitney and Gray Plant Mooty; Hennepin County Attorney 1999-2006; elected as a Democrat to the United States Senate in 2006 for the term commencing January 3, 2007; reelected in 2012 for the term ending January 3, 2019.",202-224-3244,202-228-2186,38.892839,-77.004356,"302 Hart Senate Office Building, Washington, DC 20510",http://www.klobuchar.senate.gov,https://www.klobuchar.senate.gov/public/index.cfm/email-amy,https://facebook.com/amyklobuchar,https://twitter.com/amyklobuchar
Missouri,MO,I,H001089,,N00041620,169716,S8MO00160,,Q23020745,,senator,republican,Josh,,Hawley,,,JAHSH HAW-lee,male,white-american,unspecified,no,1979-12-31,2019-01-03,2025-01-03,"Josh Hawley is a Republican member of the U.S. Senate from Missouri. Hawley was elected to the office on November 6, 2018. Hawley is the current attorney general of Missouri. He was the Republican candidate for the office in the state's 2016 election. He won the general election on November 8, 2016.",202-224-6154,,38.892947,-77.075686,B40A Dirksen Senate Office Building Washington DC 20510,https://www.hawley.senate.gov,https://www.hawley.senate.gov/contact-senator-hawley,https://facebook.com/SenatorHawley,https://twitter.com/HawleyMO
Missouri,MO,III,B000575,1464,N00005195,418,,,,,senator,republican,Roy,,Blunt,,,ROY BLUHNT,male,white-american,southern-baptist,no,1950-01-10,2011-01-03,2023-01-03,"Roy Blunt, a Senator and a Representative from Missouri; born in Niangua, Webster County, Mo., January 10, 1950; graduated Southwest Baptist University, Bolivar, Mo., B.A., 1970; graduated Missouri State University, Springfield, Mo., M.A., 1972; high school history teacher; clerk and chief election officer, Greene County, Mo. 1973-1984; Missouri state secretary of state 1984-1993; President, Southwest Baptist University, Bolivar, Mo. 1993-1996; elected as a Republican to the One Hundred Fifth and to the six succeeding Congresses (January 3, 1997-January 3, 2011); majority whip (One Hundred Eighth through One Hundred Ninth Congresses); acting majority leader (One Hundred Ninth Congress, September 28, 2005-February 2, 2006); minority whip (One Hundred Tenth Congress); was not a candidate for reelection to the House of Representatives but was elected as a Republican to the United States Senate in 2010 for the term ending January 3, 2017; vice-chair, Republican Conference (2012-); chair, Committee on Rules and Administration (One Hundred Fourteenth Congress).",202-224-5721,202-224-8149,38.892542,-77.007415,"260 Russell Senate Office Building, Washington, DC 20510",http://www.blunt.senate.gov,https://www.blunt.senate.gov/public/index.cfm/contact-roy,https://facebook.com/RoyForMissouri,https://twitter.com/RoyBlunt
Mississippi,MS,I,W000437,1226,N00003280,21926,,,,,senator,republican,Roger,F.,Wicker,,,RAH-jer WIK-er,male,white-american,southern-baptist,no,1951-07-05,2007-12-31,2019-01-03,"Roger Wicker, a Senator and a Representative from Mississippi; born in Pontotoc, Pontotoc County, Miss., July 5, 1951; graduated Pontotoc High School, Pontotoc, Miss., 1969; B.A., University of Mississippi, University, Miss., 1973; J.D., University of Mississippi, University, Miss. 1975; Air Force Reserve Officer Training Corps; United States Air Force 1976-1980; United States Air Force Reserve 1980-2003; staff for United States Representative Trent Lott of Mississippi, House Committee on Rules 1980-1982; Tupelo, Miss., judge pro tem; Lee County, Miss., public defender 1984-1987; member of the Mississippi state Senate 1988-1994; elected as a Republican to the One Hundred Fourth and to the six succeeding Congresses (January 3, 1995-December 31, 2007); resigned on December 31, 2007, to accept appointment to the Senate; appointed to the U.S. Senate on December 31, 2007, to fill the seat left vacant by the resignation of Chester Trent Lott; took oath of office on December 31, 2007; elected in 2008 in a special election for the term ending January 3, 2013; reelected in 2012 for the term ending January 3, 2019; chair, National Republican Senatorial Committee (2015-).",202-224-6253,202-228-0378,38.892947,-77.075686,"555 Dirksen Senate Office Building, Washington, DC 20510",http://www.wicker.senate.gov,https://www.wicker.senate.gov/public/index.cfm/contact,https://facebook.com/wicker,https://twitter.com/SenatorWicker
Mississippi,MS,II,H001079,,N00043298,20784,,,,,senator,republican,Cindy,,Hyde-Smith,,,SIN-dee HIDE-smith,female,white-american,christian,no,1959-05-10,2018-04-09,2021-01-03,"Cindy Hyde-Smith is a Senator from Mississippi; born in Brookhaven, Miss., May 10, 1959; graduated Copiah-Lincoln Community College; B.A., University of Southern Mississippi, 1981; cattle farmer; member of the Mississippi state senate 2000-2012; Mississippi state commissioner of agriculture and commerce 2012-2018; appointed as a Republican to the United States Senate to fill the vacancy caused by the resignation of Thad Cochran; took the oath of office on April 9, 2018; subsequently elected in a special election on November 27, 2018, for the remainder of the term ending January 3, 2021.",202-224-5054,,38.892947,-77.075686,"113 Dirksen Senate Office Building, Washington, DC 20510",http://www.hydesmith.senate.gov,https://www.hydesmith.senate.gov/content/contact-senator,https://facebook.com/SenatorCindyHydeSmith,https://twitter.com/SenHydeSmith
Montana,MT,I,T000464,1829,N00027605,20928,,,,,senator,democrat,Jon,,Tester,,,JAHN TEH-ster,male,white-american,church-of-god,no,1956-08-21,2007-01-03,2019-01-03,"Jon Tester, a Senator from Montana; born in Havre, Mont., on August 21, 1956; graduated College of Great Falls 1978, farmer; teacher; member, Big Sandy school board 1983-1992 (chairman 1986-1991); Montana State Senate 1999-2006, serving as minority whip 2001-2003, minority leader 2003-2005, president 2005-2006; elected as a Democrat to the United States Senate in 2006 for the term commencing January 3, 2007; reelected in 2012 for the term ending January 3, 2019; chair, Committee on Indian Affairs (One Hundred Thirteenth Congress [February 12, 2014-January 3, 2015]); chair, Democratic Senatorial Campaign Committee (2015-).",202-224-2644,202-224-8594,38.892839,-77.004356,"311 Hart Senate Office Building, Washington, DC 20510",http://www.tester.senate.gov,https://www.tester.senate.gov/?p=email_senator,https://facebook.com/senatortester,https://twitter.com/SenatorTester
Montana,MT,II,D000618,2138,N00033054,135720,,,,,senator,republican,Steve,,Daines,,,STEEV DAYNZ,male,white-american,presbyterian,no,1962-08-20,2015-01-03,2021-01-03,"Steve Daines, a Senator and a Representative from Montana; born in Van Nuys, Los Angeles County, Calif., August 20, 1962; graduated from Bozeman High School, Bozeman, Mont.; B.S., Montana State University, Bozeman, Mont., 1984; businessman; delegate, Republican National Convention, 1984; unsuccessful candidate for lieutenant governor of Montana in 2008; elected as a Republican to the One Hundred Thirteenth Congress (January 3, 2013-January 3, 2015); was not a candidate for reelection to the House of Representatives but was elected as a Republican to the United States Senate in 2014 for the term ending January 3, 2021.",202-224-2651,,38.892839,-77.004356,"320 Hart Senate Office Building, Washington, DC 20510",http://www.daines.senate.gov,https://www.daines.senate.gov/connect/email-steve,https://facebook.com/SteveDainesMT,https://twitter.com/SteveDaines
North Carolina,NC,III,B001135,153,N00002221,21787,,,,,senator,republican,Richard,,Burr,,,RICH-erd BUR,male,white-american,methodist,no,1955-11-30,2005-01-03,2023-01-03,"Richard Burr, a Senator and a Representative from North Carolina; born in Charlottesville, Albemarle County, Va., November 30, 1955; graduated from Reynolds High School, Winston-Salem, N.C., 1974; B.A., Wake Forest University, Winston-Salem, N.C., 1978; unsuccessful candidate for election to the One Hundred Third Congress in 1992; elected as a Republican to the One Hundred Fourth and to the four succeeding Congresses (January 3, 1995-January 3, 2005); was not a candidate for reelection to the House of Representatives, but was elected to the United States Senate in 2004; reelected in 2010 for the term ending January 3, 2017; Chair, Select Committee on Intelligence (One Hundred Fourteenth Congress).",202-224-3154,202-228-2981,38.892542,-77.007415,"217 Russell Senate Office Building, Washington, DC 20510",http://www.burr.senate.gov,https://www.burr.senate.gov/contact/email,https://facebook.com/SenatorRichardBurr,https://twitter.com/SenatorBurr
North Carolina,NC,II,T000476,2291,N00035492,57717,,,,,senator,republican,Thom,,Tillis,,,TAHM TIL-iss,male,white-american,roman-catholic,no,1960-08-30,2015-01-03,2021-01-03,"Thom Tillis, a Senator from North Carolina; born in Jacksonville, Duval County, Fla., August 30, 1960; B.A., University of Maryland University College, 1997; management consultant; member of the Cornelius (N.C.) board of commissioners 2003-2005; Member of the North Carolina house of representatives 2007-2014, serving as speaker of the House 2011-2014; elected as a Republican to the United States Senate in 2014 for the term ending January 3, 2021.",202-224-6342,202-228-2563,38.892947,-77.075686,"185 Dirksen Senate Office Building, Washington, DC 20510",http://www.tillis.senate.gov,https://www.tillis.senate.gov/public/index.cfm/email-me,https://facebook.com/SenatorThomTillis,https://twitter.com/SenThomTillis
